name,url,address,location,city,cuisines,average_cost,rating,votes,online_order,book_table,rest_type,dish_liked,menu_item,listed_in_type
Vayam Veg Fine Dine,,"173, Opposite To Traffic Police Station, Magadi Road, Bangalore, Bengaluru",Magadi Road,Rajajinagar,"North Indian, South Indian, Chinese, Mexican",700.0,3.8,36,True,False,Casual Dining,,,Delivery
Tuk-Tuk,,"2nd Floor, Food Court, VR Mall, Whitefield, Bangalore",Whitefield,Whitefield,North Indian,400.0,2.7,36,False,False,Food Court,Biryani,,Dine-out
Swathi Restaurant - The Vintage Inn,,"81 & 82, Sy No - 64, Naganatha pura (V), Begur (V) , Singasandra, Bangalore",Electronic City,Electronic City,"Andhra, North Indian",900.0,3.8,36,True,False,Casual Dining,,,Dine-out
Barista,,"982, Kalinga Institute, 80 Feet Peripheral Road, Koramangala 4th Block, Bangalore",Koramangala 4th Block,Koramangala 4th Block,Cafe,300.0,3.6,36,False,False,Cafe,"Cappuccino, Sandwich",,Cafes
NISO Chinese Restaurant,,"92, Kodigehalli Main Road, Ayyappa Nagar, KR Puram, Bangalore",KR Puram,Whitefield,"Chinese, Momos",350.0,3.9,36,False,False,Quick Bites,,,Delivery
MealBox Inc.,,"Opposite Innovative Multiplex, OYO Meridian Suites, Marathahalli, Bangalore",Marathahalli,Marathahalli,North Indian,800.0,3.9,36,True,False,Casual Dining,"Chaat, Pav Bhaji, Kheer, Aloo Paratha, Rabri, Sweet Lassi",,Delivery
C Corner,,"1328, 50 Feet Main Road, 1st Stage, Kumaraswamy Layout, Bangalore",Kumaraswamy Layout,Banashankari,"Fast Food, Street Food",200.0,3.2,36,True,False,Quick Bites,,,Delivery
Mamaji's,,"AJM Heights Builders And Developers, 4th Main Road, 4th Block, HBR Layout, Bangalore",HBR Layout,Kammanahalli,North Indian,600.0,3.8,36,True,False,Casual Dining,,,Dine-out
Grow Fit,,"526/A & 517/A, First Floor, Ganesha Complex, 19th Main Road, Sector 3, HSR, Bangalore",HSR,HSR,"Healthy Food, North Indian, Thai",500.0,3.8,36,True,False,Delivery,"Brownie, Biryani",,Delivery
Eatery Have U Been,,"767-768, 16th Main Road, MCHS Colony, Stage 2, BTM 2nd Stage, Bangalore",BTM,Koramangala 7th Block,"Cafe, Chinese, Fast Food, Burger, North Indian",500.0,3.4,36,True,False,"Cafe, Quick Bites",,,Delivery
Dessi Cuppa,,"2719, 16th Cross, 31st Main, Near NIFT, 1st Sector, HSR, Bangalore",HSR,Sarjapur Road,"Beverages, Fast Food",250.0,3.7,36,True,False,"Quick Bites, Beverage Shop",,,Delivery
Spicy Fingers,,"Opposite Florence School, Ravindra Tagore Nagar Main Rd, P&T Colony, RT Nagar",RT Nagar,Malleshwaram,"North Indian, South Indian, Seafood",600.0,3.4,36,True,False,Casual Dining,,,Delivery
Cafe Coffee Day,,"WOC Road, RPC Layout, Vijay Nagar, Bangalore",Vijay Nagar,Rajajinagar,"Cafe, Fast Food",900.0,3.5,36,True,False,Cafe,,,Delivery
Sweet Truth,,"101 Ground Floor, Manjunatha Complex, 22nd Main Road, Banashankari, Bangalore",Banashankari,Banashankari,"Bakery, Desserts",500.0,3.9,35,True,False,Delivery,,,Delivery
RCS Kitchen,,"#6, 12th main, N.S Palya, lakeroad, BTM 2nd stage, Bangalore 560076",BTM,Koramangala 5th Block,Continental,500.0,3.4,35,True,False,Quick Bites,,,Delivery
The Chaat Shop,,"11/4, Old Market Road, V V Puram, Basavanagudi, Bangalore",Basavanagudi,Residency Road,Fast Food,200.0,2.5,35,False,False,Quick Bites,"Badam Milk, Potato Twister, Pav Bhaji, Panipuri, Tikki Chaat, Cheese Cutlet",,Delivery
Barista,,"4/4, Shaughnessy Road, Opposite Divyashree Chambers, Shanti Nagar, Bangalore",Shanti Nagar,Lavelle Road,Cafe,300.0,3.7,35,False,False,Cafe,,,Cafes
Jayanagar Grill House,,"1839, 41st Cross, Putlanpalya, 9th Block, Jayanagar, Bengaluru, Bengaluru",Jayanagar,Koramangala 5th Block,"Biryani, Kebab",250.0,3.5,35,True,False,Quick Bites,,,Delivery
Jaganath Hotel and Restaurant,,"634, 13th Cross, Near Delmia Circle, JP Nagar, Bangalore",JP Nagar,JP Nagar,"North Indian, Chinese",200.0,3.6,35,True,False,Quick Bites,,,Delivery
Bakers77,,"456, Basaveshwara Nagar Main Road, Basaveshwara Nagar, Bangalore",Basaveshwara Nagar,Rajajinagar,"Bakery, Fast Food",0.0,3.8,35,False,False,"Bakery, Quick Bites",,,Desserts
Rolling Waffles,,"40, 1st Main Road, West Of Chord Road, 3rd Stage, Basaveshwar Nagar, Bengaluru",Basaveshwara Nagar,Rajajinagar,Desserts,250.0,3.8,35,True,False,Dessert Parlor,"Waffles, Nutella Waffle",,Desserts
Kafe Nook,,"7, 17th Cross Road, Mahadeshwara Nagar, Stage 2, BTM, Bangalore",BTM,Koramangala 7th Block,Fast Food,300.0,3.6,35,True,False,Quick Bites,,,Delivery
Reddy's Restaurant,,"246/1, 2nd Cross, AKG Colony, Near MVJ College, Channasandra Main Road, Whitefield, Bangalore",Whitefield,Whitefield,"Andhra, Biryani, North Indian",400.0,3.1,35,True,False,Quick Bites,,,Dine-out
Chaat Bazaar,,"3rd Flood, Forum Neighbourhood Mall, Whitefield, Bangalore",Whitefield,Whitefield,Street Food,300.0,3.7,35,True,False,Quick Bites,,,Dine-out
Srinivasa Mess,,"Opposite Police Station, H Siddaiah Road, Vinayaka Nagar, NGO Colony, Wilson Garden, Bangalore",Wilson Garden,Residency Road,"Andhra, Chinese",300.0,3.7,35,True,False,Mess,,,Delivery
Tandoor-De-Naal,,"Bhuvappa Layout, Kaveri Layout, Suddagunte Palya, Near Forum Mall, BTM, Bangalore",BTM,Koramangala 5th Block,Fast Food,200.0,3.8,35,False,False,"Takeaway, Delivery","Rolls, Chicken Roll, Paneer Roll, Pasta",,Delivery
Rayalaseema Spices,,"294, 8th Main, BEML Layout, Brookefield, Bangalore",Brookefield,Brookefield,"Andhra, South Indian",550.0,3.5,35,True,False,Casual Dining,,,Dine-out
Little Black Choux,,"38, Thubarahalli Extended Road, Kumarapalli, Whitefield, Bangalore",Whitefield,Brookefield,Bakery,250.0,4.0,35,False,False,Bakery,"Opera Cake, Cup Cake, Red Velvet, Chocolate Mousse",,Desserts
Charlee's Chicken,,"Doddakamanahalli Main Road, Kalena Agrahara, Bannerghatta Road, Bangalore",Bannerghatta Road,Bannerghatta Road,"Rolls, Chinese, Fast Food",300.0,3.2,35,True,False,Quick Bites,,,Dine-out
Kolkata Rolls & Chowmein,,"115, Next To Big Bazaar, Service Road, Vijaya Bank Colony, Banaswadi, Bangalore",Banaswadi,Kammanahalli,Rolls,100.0,3.5,35,True,False,Quick Bites,,,Delivery
Sweet Truth,,"5M/406, Hennur Road, 2nd Block Extension, Kalyan Nagar, Bangalore",Kalyan Nagar,Kammanahalli,"Bakery, Desserts",500.0,3.9,35,True,False,Delivery,"Chocolate Fantasy, Cheesecake, Chocolate Decadence, Chocolava",,Delivery
Freeze It,,"797,10th Main, 35th Cross, 4th Block, Jayanagar, Bangalore",Jayanagar,Basavanagudi,Ice Cream,300.0,3.5,35,True,False,Dessert Parlor,,,Desserts
Food And You,,"Near Chirst Univercity, Hosur Main Road, BTM, Bangalore",BTM,Koramangala 4th Block,"North Indian, South Indian, Gujarati",350.0,3.9,35,True,False,Quick Bites,,,Delivery
Cafe Idly,,"483, Hal, 3rd Stage, Jeevan Bhima Nagar, Bangalore",Jeevan Bhima Nagar,Old Airport Road,"South Indian, Fast Food",200.0,2.9,35,True,False,Quick Bites,,,Delivery
Fujian Express,,"1260, SY 35/4, SJR Tower's, 7th Phase, 24th Main Puttanhalli, JP Nagar, Bangalore",JP Nagar,JP Nagar,"Chinese, Thai",200.0,3.4,35,True,False,Quick Bites,,,Delivery
Liveat,,"39/7, 5th Cross, 7th Main, Appareddy Palya, Indiranagar, Bangalore",Indiranagar,Old Airport Road,"Healthy Food, Mexican, Asian, Continental",500.0,3.7,35,False,False,Delivery,,,Delivery
Aashish Foods,,"535/5, B Block, Aces Layout, Kundalahalli, Brookefield, Bangalore",Brookefield,Whitefield,North Indian,150.0,2.7,35,True,False,Quick Bites,Paratha,,Delivery
Day N Night Kitchen,,"44/1/A,1st, Cross,16th Main, 2nd Stage, BTM, Bangalore",BTM,BTM,"Biryani, Chinese, North Indian",450.0,3.2,35,False,False,Delivery,,,Delivery
Grand Spicy Restaurant,,"9, Mota Chambers Millers Road Bangalore, Cunningham Road, Bangalore",Cunningham Road,Lavelle Road,"North Indian, Mughlai, Chinese",700.0,3.6,35,False,False,Casual Dining,,,Delivery
Desi Dhaba,,"208, 1st Main, 7th Block, Koramangala 7th Block, Bangalore",Koramangala 7th Block,Koramangala 5th Block,"North Indian, Chinese, Rolls",300.0,3.7,35,False,False,Quick Bites,,,Dine-out
The Upper Deck - Raaj Residency,,"Pai Viceroy, 6, 1st Cross, JC Road, Near, Basavanagudi, Bangalore",Basavanagudi,Basavanagudi,"North Indian, Chinese",800.0,3.6,35,True,False,Casual Dining,,,Dine-out
Curries & Pickles,,"33/33, Opposite SLR Spirits, Doodathogur , Velankani Road, Electronic City, Bangalore",Electronic City,Electronic City,"Andhra, Biryani, Chinese",400.0,3.4,35,True,False,Quick Bites,,,Delivery
YumYumDilli,,"836, First Floor, Rajpalya, Mahadevpura, Near Bharat Petrol Pump, Whitefield, Bangalore",Whitefield,Whitefield,North Indian,500.0,3.4,35,True,False,Delivery,,,Delivery
Daal Roti,,"139, Behind Police Station, 72nd Cross, Kumaraswamy Layout, Bangalore",Kumaraswamy Layout,JP Nagar,"North Indian, Chinese",250.0,2.9,35,True,False,Quick Bites,,,Delivery
Rotti Mane,,"20, GKW Main Rd, 4 E Block, Marenahalli, Saraswathi Nagar, Vijay Nagar, Bangalore",Vijay Nagar,Rajajinagar,South Indian,200.0,3.5,35,True,False,Quick Bites,,,Delivery
J K Fish Land,,"272, 14th Cross Road, Yediyur, Jayanagar, Bangalore",Jayanagar,Banashankari,"Seafood, Mangalorean",300.0,3.6,35,True,False,Quick Bites,,,Dine-out
Samudra Bar & Restaurant,,"12, Nagappa Street, Near Seshadripuram College, Seshadripuram, Bangalore",Seshadripuram,Malleshwaram,"North Indian, Mughlai, Chinese",800.0,2.9,35,False,False,"Casual Dining, Bar",,,Dine-out
Swathi Restaurant,,"1, Near Mantri Mall, Seshadripuram, Bangalore",Seshadripuram,Malleshwaram,"Chinese, North Indian, South Indian",600.0,3.9,35,False,False,Casual Dining,,,Dine-out
Lassi Shack,,"Lacasa Compound, Central Jail Road, Kasavanahalli, Sarjapur Road, Bangalore",Sarjapur Road,HSR,"Beverages, Ice Cream",200.0,3.7,35,True,False,"Beverage Shop, Dessert Parlor",,,Delivery
Starbucks,,"Miraya Rose, Siddapura, Whitefield, Bangalore",Whitefield,Whitefield,"Cafe, Desserts",700.0,3.9,35,False,False,Cafe,,,Cafes
Vishwa Brahmin's Cafe,,"125, K Block, Dr Rajkumar Road, Rajajinagar, Bangalore",Rajajinagar,Malleshwaram,South Indian,100.0,3.7,35,False,False,Quick Bites,,,Dine-out
Baskin Robbins,,"Food Court, Manyata Tech Park, Nagawara, Bangalore",Nagawara,Kalyan Nagar,"Ice Cream, Desserts",250.0,3.7,35,True,False,Food Court,,,Delivery
Bhookha Sher,,"Carlton Towers, Near Diamond District Old Airport Road, Bangalore",Old Airport Road,Old Airport Road,"North Indian, Fast Food",350.0,3.2,35,True,False,Quick Bites,Coffee,,Dine-out
Foodie,,"A1, Freshworld Market, Main Road, Whitefield, Bangalore",Whitefield,Whitefield,"Chinese, Fast Food",300.0,2.9,35,False,False,Kiosk,"Rolls, Tandoori Chicken, Paratha",,Delivery
Apna Veg Dhaba,,"73,Near BBMP Office, Bellandur, Bangalore",Bellandur,Sarjapur Road,"North Indian, Chinese",550.0,3.1,35,True,False,Casual Dining,,,Dine-out
The Milkshake Theory,,"65/1A, Sarjapur Main Road, Kaikondrahalli, Sarjapur Road, Bangalore",Sarjapur Road,Sarjapur Road,"Beverages, Fast Food",400.0,3.7,35,True,False,Beverage Shop,,,Delivery
New Krishna Sagar,,"7/1, 80 Feet Road, Michael Palya, Indiranagar, Bangalore",Indiranagar,Old Airport Road,"South Indian, North Indian, Chinese",300.0,3.5,35,True,False,Quick Bites,,,Delivery
Mangalore Lunch Home,,"10, Opposite Hennur Bus DPO, HBR Layout, Bangalore",HBR Layout,Kammanahalli,"Mangalorean, Seafood",300.0,3.2,35,True,False,Quick Bites,,,Dine-out
Fusion Tadka,,"163, Shop 2, Shreyas Arcade, Opposite Appolo Pharmacy, Greenglen Layout, Bellandur, Bangalore",Bellandur,Sarjapur Road,"North Indian, Chinese, Rajasthani",450.0,3.8,35,True,False,Delivery,"Gulab Jamun, Lassi, Manchurian Roll",,Delivery
Chetty's Corner,,"A-4, K.H.B. Colony, Koramangala 5th Block, Bangalore",Koramangala 7th Block,Koramangala 7th Block,"Fast Food, Pizza, Sandwich",250.0,3.8,35,True,False,Quick Bites,,,Dine-out
Udupi Deluxe,,"4, Near-Basavanagar Bus Stand, Vignana Nagar Talacauvery Housing Society Layout, Basavanagara, Kaggadasapura, Bangalore",Kaggadasapura,Marathahalli,"South Indian, North Indian, Chinese",300.0,3.8,35,False,False,Quick Bites,,,Dine-out
The French Loaf,,"L1-04,Splendid Plaza, 100 Feet Main Road, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Koramangala 7th Block,"Bakery, Desserts, Sandwich",400.0,3.8,35,False,False,Bakery,Sandwiches,,Desserts
Food Lover,,"Shop 1344/B, 6th Cross, 11th Main, Leela Palace Road, Kodihalli, HAL 3rd Stage, Indiranagar, Bangalore",Indiranagar,Old Airport Road,"North Indian, Chinese",400.0,3.7,35,True,False,Quick Bites,,,Delivery
Aashish Foods,,"6,Opposite Prestige Tech Park, Kadubeesanhalli Bus Stop, Marathahalli, Bangalore",Marathahalli,Marathahalli,North Indian,150.0,3.8,35,True,False,Quick Bites,"Paratha, Thali, Rajma",,Dine-out
The Humble Pie,,"346/A, 17th A Main, 22nd A Cross, Sector 3, HSR, Bengaluru",HSR,Koramangala 4th Block,"Desserts, Bakery",200.0,4.0,35,True,False,"Bakery, Dessert Parlor",,,Delivery
All Shook Up,,"12, Anand Reddy Buliding, Vivekananada Layout, 1st Main, Opposite Hometown, Outer Ring Road, Marathahalli, Bangalore",Marathahalli,Marathahalli,"Desserts, Beverages",300.0,3.7,35,True,False,"Dessert Parlor, Beverage Shop",,,Desserts
LV Venkateshwara Jolada Rotti Oota,,"86, 1st Floor, VM Plaza, 8th cross Sampige road, Malleshwaram, Bengaluru",Malleshwaram,Rajajinagar,South Indian,300.0,3.9,35,True,False,Quick Bites,,,Dine-out
What's Cooking,,"4, Building 240, 27th main road, HSR sector 2",HSR,HSR,North Indian,300.0,3.1,35,True,False,"Takeaway, Delivery",Rajma Chawal,,Delivery
Shree Mahalakshmi Sweets,,"547/11, F Block, RMS Layout, Sahakara Nagar, Bangalore",Sahakara Nagar,New BEL Road,"Mithai, Street Food",100.0,3.6,34,True,False,Takeaway,"Samosa, Badam Milk",,Delivery
North Indian And Bengali Mess,,"188, 5th Cross, KHB Colony, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Koramangala 5th Block,"North Indian, Bengali",300.0,3.7,34,False,False,Mess,,,Delivery
Food 4 U,,"1259, 10th Cross, Anantha Nagar 2nd Phase, Electronic City, Bangalore",Electronic City,Electronic City,North Indian,400.0,3.6,34,False,False,Quick Bites,,,Dine-out
Crunch Pizzas,,"16/3, Cambridge Road, Cambridge Layout, Jogupalya, Ulsoor, Bangalore",Ulsoor,Residency Road,"Italian, Pizza",600.0,2.5,34,True,False,Quick Bites,,,Delivery
Goli Vada Pav No. 1,,"3, Cambridge Layout, Opposite Frank Anthony Public School, Ulsoor, Bangalore",Ulsoor,Residency Road,Street Food,200.0,3.5,34,True,False,Quick Bites,,,Delivery
Swaadam Veg,,"84, Hosur Main Road, Madivala, BTM, Bangalore",BTM,BTM,"South Indian, Chinese",300.0,3.6,34,True,False,Casual Dining,,,Delivery
HSR SLV Fast Food,,"234, 16th Main, 22nd Cross, 3rd Sector, Next HSR Club, HSR, Bangalore",HSR,Koramangala 4th Block,"South Indian, Fast Food",200.0,3.7,34,True,False,Quick Bites,,,Delivery
Reddy's Restaurant,,"6/2, Near Wipro Headquaters, Kaikondrahalli, Sarjapur Road, Bangalore",Sarjapur Road,Bellandur,"Andhra, Biryani, South Indian, Chinese",500.0,3.6,34,True,False,Casual Dining,,,Delivery
Uday Sweets,,"524, 17th E Main, KHB Block, KHB Colony, Koramangala 5th Block, Bangalore",Koramangala 5th Block,BTM,"Mithai, Fast Food",250.0,3.8,34,True,False,Sweet Shop,"Samosa, Poha, Rasgulla, Kachori",,Desserts
Brownie Heaven,,"110-A, Westminister Building, Cunningham Road, Bengaluru",Cunningham Road,Frazer Town,"Desserts, Fast Food",300.0,4.2,34,True,False,Dessert Parlor,"Filter Coffee, Triple Chocolate, Brownie Chocolate, Vanilla Ice Cream, Brownie Shake, Tiramisu, Chocolate Shake",,Desserts
OMY Grill,,"1152, 22nd Cross, 22nd B Main, Sector 2, HSR, Bangalore",HSR,HSR,"Biryani, Rolls, Fast Food",300.0,3.8,34,True,False,Quick Bites,,,Dine-out
Helloo Delhi,,"Kasavanhalli, Sarjapur Road, Bangalore",Sarjapur Road,Bellandur,North Indian,1000.0,3.2,34,True,False,,,,Dine-out
New Farm Fresh,,"63, Chocolate Factory Road, Tavarekere, 1st Stage, BTM, Bangalore",BTM,Koramangala 5th Block,"Italian, Pizza",650.0,3.6,34,False,False,Quick Bites,Wood Fire Pizza,,Delivery
Skyline Family Restaurant,,"120, K.H Road, Shanti Nagar, Bangalore",Shanti Nagar,Residency Road,"North Indian, Chinese, Seafood, Mangalorean",550.0,3.2,34,True,False,Casual Dining,,,Delivery
The Blue Bawarchi,,"374, 1st Cross, H. Narayanappa, Next To Manyatta Tech Park, Nagawara, Bangalore, Bengaluru",Nagawara,Kammanahalli,"Chinese, Oriya, North Indian, Bengali",300.0,3.6,34,True,False,Quick Bites,,,Delivery
Khan Saheb Grills and Rolls,,"505, CMR Road, HRBR Layout 2nd Block, Kalyan Nagar, Bangalore",Kalyan Nagar,Kammanahalli,"Fast Food, Rolls",350.0,3.1,34,True,False,"Takeaway, Delivery",,,Delivery
Chapati House,,"4/1, 100 Feet Road, intermediate Ring Road, Opposite HDFC Bank, Ejipura, Bangalore",Ejipura,Old Airport Road,North Indian,300.0,3.9,34,True,False,Quick Bites,Naan,,Delivery
Cafe Coffee Day,,"1/1, LIC Building, 24th Main, Near RV Dental College, 1st Phase, JP Nagar, Bangalore",JP Nagar,JP Nagar,"Cafe, Fast Food",900.0,3.1,34,True,False,Cafe,,,Dine-out
Machali Port,,"30, First Floor, 2nd Main, Santrupthi Nagar, Opposite Axis Bank, Kothanur Dinne Main Road, 7th Phase, Bangalore, JP Nagar, Bangalore",JP Nagar,JP Nagar,"Mangalorean, Seafood, North Indian",750.0,3.9,34,True,False,Casual Dining,"Sea Food, Anjal Masala Fry, Fish Curry, Fish Fry, Thali, Neer Dosa",,Dine-out
Bhavani Chats,,"A11, Opposite Ranka Apartments, Bilekahalli, Bannerghatta Road, Bangalore",Bannerghatta Road,Bannerghatta Road,Street Food,100.0,3.6,34,True,False,Quick Bites,,,Delivery
Sang Grail,,"Near Big Bazaar, Kothnur Village Main Road, Nataraja Layout, Gaurav Nagar, 7th Phase, JP Nagar, Bangalore",JP Nagar,JP Nagar,Healthy Food,300.0,3.6,34,False,False,Quick Bites,,,Dine-out
Uday Sweets,,"503, 6th Main, 6th Block, Koramangala 6th Block, Bangalore",Koramangala 6th Block,Koramangala 6th Block,"Mithai, Fast Food",250.0,3.5,34,True,False,Sweet Shop,"Jalebi, Poha, Puri Sabzi",,Dine-out
Elmas Restaurant,,"412/A, 1st C Cross, Near Forum Mall, 7th Block, Koramangala 7th Block, Bangalore",Koramangala 7th Block,Koramangala 7th Block,"North Indian, Kerala, Chinese, Biryani, Seafood, South Indian",650.0,3.4,34,True,False,Casual Dining,Rooftop Ambience,,Dine-out
Brea,,"1651, 10th Main, HAL 3rd Stage, Jeevan Bhima Nagar, Bangalore",Jeevan Bhima Nagar,Indiranagar,"Bakery, Fast Food, Street Food",300.0,3.4,34,True,False,"Bakery, Quick Bites",,,Desserts
Flavors of India,,"43, Kundanahalli Gate, Marathahalli, Bangalore",Marathahalli,Marathahalli,"North Indian, Chinese, Andhra",800.0,3.6,34,True,False,Casual Dining,,,Delivery
Sweet Chariot,,"Shop 35/1, Opposite Village Supermarket, Marathahalli, Bangalore",Marathahalli,Marathahalli,"Bakery, Fast Food",500.0,2.8,34,False,False,"Bakery, Dessert Parlor",,,Desserts
Melting Melodies,,"90/3, Munnekolala Outer Ring Road, Marathahalli, Bangalore",Marathahalli,Marathahalli,"Bakery, Desserts",0.0,3.4,34,False,False,Dessert Parlor,,,Desserts
Vijayalakshmi Veg,,"Venkateshpura 21-4, P & T Colony, Arabic College Main Road, Opposite Bilal Complex, Pillanna Garden, Kadugondanahalli, Nagawara, Bangalore",Nagawara,Kammanahalli,South Indian,150.0,3.9,34,True,False,Quick Bites,,,Dine-out
Om Sweets & Snacks,,"275, 17th F Main, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Koramangala 6th Block,"Mithai, Oriya, Bengali",150.0,3.9,34,False,False,Sweet Shop,,,Desserts
Waffle Square,,"43/2, VMR Arcade, V Monireddy Compound, Kundanahalli Gate, Opposite Bus Stand, Varthur Main Road, Marathahalli, Bangalore",Marathahalli,Marathahalli,"Desserts, Beverages, Ice Cream",300.0,3.9,34,True,False,"Dessert Parlor, Beverage Shop",,,Desserts
Mr. Meetharam,,"449, 9th Cross, 2nd Phase, JP Nagar, Bangalore",JP Nagar,Bannerghatta Road,"Mithai, Street Food",150.0,3.2,34,True,False,Quick Bites,,,Delivery
The Farm House Bar n Grill,,"136, SAP Labs India, KIADB Export Promotion Industrial Area, Whitefield, Bangalore",Whitefield,Brookefield,"North Indian, Continental",800.0,3.7,34,False,False,"Casual Dining, Bar",,,Drinks & nightlife
Zeee's,,"Arcade, Brigade Metropolis, Mahadevapura, Whitefield, Bangalore",Whitefield,Whitefield,"Fast Food, North Indian, Street Food",300.0,3.7,34,True,False,Quick Bites,,,Delivery
Five Star Chicken,,"167/1, 7Th Cross, 4Th Main Road, Chamrajpet, Basavanagudi, Bangalore",Basavanagudi,Basavanagudi,Fast Food,200.0,3.3,34,True,False,Quick Bites,,,Dine-out
The Lounge - The Chancery Pavilion,,"The Chancery Pavillion, Residency Road, Bangalore",Residency Road,Lavelle Road,"Chinese, North Indian, South Indian",2000.0,3.7,34,False,False,Casual Dining,,,Dine-out
Intriicake,,"#235, 9th Main road, Sector 6, HSR Layout, Near Lawrence School, Bangalore - 560102",HSR,BTM,"Bakery, Desserts, Italian, North Indian, Fast Food",350.0,3.8,34,True,False,"Quick Bites, Bakery",Cup Cake,,Delivery
De Oxford Cafe,,"18, K.R Layout, Dollar Colony, 4th Phase, JP Nagar",JP Nagar,BTM,"Cafe, Beverages, Fast Food",500.0,3.7,34,False,False,Cafe,,,Cafes
Pathaan Sir,,"39/3, 44, Auchan Hypermarket, Bannerghatta Road, Bangalore",Bannerghatta Road,Jayanagar,"Rolls, Chinese",300.0,3.3,34,True,False,Quick Bites,,,Dine-out
Hungry Buddies,,"17, 19th Cross, 7th Main Road, NS Palya, BTM 2nd Stage, BTM, Bangalore",BTM,JP Nagar,North Indian,150.0,3.4,34,False,False,Quick Bites,,,Dine-out
Venice Kerala Restaurant,,"Opposite Brookfield Mall, Shiva Temple Road, Brookefield, Bangalore",Brookefield,Whitefield,Kerala,200.0,3.7,34,False,False,Quick Bites,,,Delivery
Ice Land,,"22/23, 7th Main, 7th Cross, Near Jayanti Garden Apartment, Shakambarinagar, 1st Phase, JP Nagar, Bangalore",JP Nagar,JP Nagar,"Ice Cream, Desserts",300.0,3.6,34,True,False,Dessert Parlor,"Prompt Service, Friendly Staff",,Desserts
Dhang Ka Khana,,"Rama Temple Road, Next to ICICI ATM, Ejipura, Bangalore",Ejipura,Koramangala 4th Block,North Indian,200.0,3.7,34,True,False,Quick Bites,Panneer Butter Masala,,Dine-out
Meat And Eat,,"24, Banaswadi Main Road, Maruthi Seva Nagar, Banaswadi, Bangalore",Banaswadi,Kammanahalli,"Fast Food, Burger",500.0,3.2,34,True,False,Quick Bites,,,Dine-out
Eat Well,,"11, ATNT Complex, 80 Feet Main Road, Opposite Indian Oil Petrol Pump, Koramangala 6th Block, Bangalore",Koramangala 6th Block,Koramangala 6th Block,"Chinese, North Indian",500.0,3.0,34,False,False,Quick Bites,,,Delivery
Chaai Resto,,"71/1A, Lingappa Reddy Complex, Carmelaram Post, Sarjapur Main Road, Sarjapur Road, Bangalore",Sarjapur Road,Sarjapur Road,"Cafe, Rolls, Fast Food",200.0,4.0,34,True,False,Cafe,"Chai, Ice Tea, Maggi, Poha, Chaai, Vada Pav, French Fries",,Delivery
Uphara Kendra,,"1/4, Nisha Complex, KR Road, Near National College, Basavanagudi, Bangalore",Basavanagudi,Basavanagudi,South Indian,100.0,3.6,34,False,False,Quick Bites,,,Dine-out
Bombay Sandwich Company,,"1st Floor, 1st Cross, Next To Bosch Back Gate, Near Someshwara Swamy Temple, Adugodi, Koramangala 7th Block, Bangalore",Koramangala 7th Block,Koramangala 6th Block,"Sandwich, Beverages",400.0,3.6,34,True,False,Delivery,,,Delivery
Keventers,,"414, 5th Main, HRBR Layout, Kalyan Nagar, Bangalore",Kalyan Nagar,Kalyan Nagar,"Desserts, Beverages, Ice Cream",400.0,3.7,34,True,False,"Beverage Shop, Dessert Parlor",,,Delivery
The Litti Company,,"1554, Ground Floor, 19th Main, Sector - 1, HSR, Bangalore",HSR,Koramangala 6th Block,Bihari,400.0,3.7,34,True,False,"Takeaway, Delivery","Liti Chokha, Aloo Litti, Dal Halwa",,Delivery
Chetty's Corner,,"A-4, K.H.B. Colony, Koramangala 5th Block, Bangalore",Koramangala 5th Block,BTM,"Fast Food, Burger",200.0,3.8,34,True,False,Quick Bites,,,Dine-out
Cafe Coffee Day,,"ATR Complex, Murugeshpalya, Old Airport Road, Bangalore",Old Airport Road,Old Airport Road,"Cafe, Fast Food",900.0,2.8,34,True,False,Cafe,,,Dine-out
S M V Snacks Corner,,"Next to Bhagwan Mahavir Jain College, V V Puram, Basavanagudi, Bangalore",Basavanagudi,Jayanagar,Fast Food,200.0,3.7,34,True,False,Quick Bites,,,Delivery
NutBerry,,"557, 14th Main Road, Section 3, HSR, Bangalore",HSR,HSR,"Beverages, Desserts, Fast Food",150.0,3.7,34,True,False,"Dessert Parlor, Beverage Shop",,,Delivery
Kesar Rajasthani Parotha Point,,"Old Market, V V Puram, Basavanagudi, Bangalore",Basavanagudi,Basavanagudi,"North Indian, Rajasthani",200.0,3.9,34,True,False,Quick Bites,,,Dine-out
Ozaa,,"Oakwood Premier Prestige, UB City, Vittal Mallya Road, Lavelle Road, Bangalore",Lavelle Road,Lavelle Road,"Mediterranean, American, Asian",1700.0,3.8,34,False,False,Casual Dining,,,Dine-out
Pita Pit,,"Food Court, 4th Floor, Ascendas Park Square Mall, International Tech Park, Whitefield, Bangalore",Whitefield,Whitefield,"Healthy Food, Salad, Mexican, Beverages",500.0,3.9,34,True,False,Quick Bites,,,Delivery
New Aastha,,"Sri Gokul Complex, Near TCS, Phase 2, Electronic City, Bangalore",Electronic City,Electronic City,"North Indian, Chinese",250.0,3.6,34,True,False,Quick Bites,,,Dine-out
